Topic,Category,Department,Question,URLname,Answer,Service Type ID,Title,Summary,Visible to Customer,Visible in public Knowledge Base,Visible to Partner
Parking,Public_Safety,Police,I receive a parking citation.  What now?,I-receive-a-parking-citation---What-now,"If you have questions, please call our Records Unit at 909-356-7103.",NA,I receive a parking citation.  What now?,"If you have questions, please call our Records Unit at 909-356-7103.",TRUE,TRUE,TRUE
Parks information,Parks,Parks,Do City parks have operating hours?,Do-City-parks-have-operating-hours,"Fontana City parks are open from sunrise to sunset every day of the year. 

Some city parks have an adjacent athletic field or court with lights that are scheduled on a permitted basis. When lights are on, people may be present at these facilities.",NA,Do City parks have operating hours?,"Fontana City parks are open from sunrise to sunset every day of the year. 

Some city parks have an adjacent athletic field or court with lights that are scheduled on a permitted basis. When lights are on, people may be present at these facilities.",TRUE,TRUE,TRUE
Parks information,Parks,Parks,Are there power outlets available at City-owned parks?,Are-there-power-outlets-available-at-City-owned-parks,"Electrical outlets are found in City parks only at some amphitheaters, sports fields, and park shelters.

Electrical power will be made available only when requested as part of a reservation. ",NA,Are there power outlets available at City-owned parks?,"Electrical outlets are found in City parks only at some amphitheaters, sports fields, and park shelters.

Electrical power will be made available only when requested as part of a reservation. ",TRUE,TRUE,TRUE
Parks information,Parks,Parks,â€‹â€‹â€‹â€‹â€‹â€‹â€‹Who is responsible for maintaining playground equipment at City parks?Â ,â€‹â€‹â€‹â€‹â€‹â€‹â€‹Who-is-responsible-for-maintaining-playground-equipment-at-City-parksÂ ,"The City operates multiple types and sizes of parks. Most have playground equipment offering recreational opportunities for children.  

Park staff takes pride in maintaining the playground equipment so that it can be safely enjoyed. If you observe an issue with playground equipment that you believe poses a safety concern, please call us to report it. You can reach us at (909) 350_6760.

To report concerns that are not urgent in nature, please submit a request [link].",PARKSGRNDS,â€‹â€‹â€‹â€‹â€‹â€‹â€‹Who is responsible for maintaining playground equipment at City parks?Â ,"The City operates multiple types and sizes of parks. Most have playground equipment offering recreational opportunities for children.  

Park staff takes pride in maintaining the playground equipment so that it can be safely enjoyed. If you observe an issue with playground equipment that you believe poses a safety concern, please call us to report it. You can reach us at (909) 350_6760.

To report concerns that are not urgent in nature, please submit a request [link].",TRUE,TRUE,TRUE
Parks information,Parks,Parks,Who is responsible for watering City parks?,Who-is-responsible-for-watering-City-parks,"The City operates multiple types and sizes of parks, including Neighborhood, Community, and Regional parks.

All parks are irrigated and all operate using automatic timers. Because parks are frequently scheduled for social and sporting events, parks are not required to adhere to the scheduled watering days. Additionally, Parks staff may need to make repairs and tests of the irrigation systems during their normal work shifts that may be contrary to residential watering times.

Regardless of when we water, our goal will always be to conserve and water wisely.  If you notice a sprinkler causing water to run-off into the sidewalk, a broken sprinkler, one spraying inappropriately, an area of a park not being watered sufficiently, or any other park irrigation issue, please let us know so we can take care of it. 

To report a watering or irrigation concern, please submit a request [link to request]. ",PARKSIRRIG,Who is responsible for watering City parks?,"The City operates multiple types and sizes of parks, including Neighborhood, Community, and Regional parks.

All parks are irrigated and all operate using automatic timers. Because parks are frequently scheduled for social and sporting events, parks are not required to adhere to the scheduled watering days. Additionally, Parks staff may need to make repairs and tests of the irrigation systems during their normal work shifts that may be contrary to residential watering times.

Regardless of when we water, our goal will always be to conserve and water wisely.  If you notice a sprinkler causing water to run-off into the sidewalk, a broken sprinkler, one spraying inappropriately, an area of a park not being watered sufficiently, or any other park irrigation issue, please let us know so we can take care of it. 

To report a watering or irrigation concern, please submit a request [link to request]. ",TRUE,TRUE,TRUE
Parks information,Parks,Parks,Who maintains the restrooms at City parks?,Who-maintains-the-restrooms-at-City-parks,"

Many parks within the City have restrooms open to the public during park hours. Park staff clean and service park restrooms once daily year round.

To report a concern with City park restrooms, call (909) 350-6760 please submit a request [link to request].",PARKSRR,Who maintains the restrooms at City parks?,"

Many parks within the City have restrooms open to the public during park hours. Park staff clean and service park restrooms once daily year round.

To report a concern with City park restrooms, call (909) 350-6760 please submit a request [link to request].",TRUE,TRUE,TRUE
Parks information,Parks,Parks,Who maintains City park grounds?,Who-maintains-City-park-grounds,"Park staff clean-up litter, debris, and empty waste containers daily along with performing many other tasks to maintain the beauty and serviceability of the City's parks.

To report concerns with a City park, please call (909) 350-6760 or submit a request [link to request].",PARKSGRNDS,Who maintains City park grounds?,"Park staff clean-up litter, debris, and empty waste containers daily along with performing many other tasks to maintain the beauty and serviceability of the City's parks.

To report concerns with a City park, please call (909) 350-6760 or submit a request [link to request].",TRUE,TRUE,TRUE
Parks information,Parks,Parks,Who is responsible for mowing City parks?,Who-is-responsible-for-mowing-City-parks,"

The City of Fontana has over 48 parks and parkways.  Regular mowing is part of each park's scheduled maintenance. Scheduling and frequency vary according to the season.

A list of all parks in the city and amenities of each can be found here [link to amenities to community services].

To report a park in need of mowing, please call (909) 350-6760 or submit a request here [link to request]. ",PARKSMOW,Who is responsible for mowing City parks?,"

The City of Fontana has over 48 parks and parkways.  Regular mowing is part of each park's scheduled maintenance. Scheduling and frequency vary according to the season.

A list of all parks in the city and amenities of each can be found here [link to amenities to community services].

To report a park in need of mowing, please call (909) 350-6760 or submit a request here [link to request]. ",TRUE,TRUE,TRUE
Parks information,Parks,Parks,How can I reserve a facility,How-can-I-reserve-a-facility,To reserve a space please click here https://www.fontana.org/158/Rental-Information,NA,How can I reserve a facility,To reserve a space please click here https://www.fontana.org/158/Rental-Information,TRUE,TRUE,TRUE
Parks information,Parks,Parks,How can I reserve a ball field?,How-can-I-reserve-a-ball-field,To reserve a space please click here https://www.fontana.org/158/Rental-Information,NA,How can I reserve a ball field?,To reserve a space please click here https://www.fontana.org/158/Rental-Information,TRUE,TRUE,TRUE
Passports,General,City Clerk's Office,How do I apply for a passport?,How-do-I-apply-for-a-passport,"The City of Fontana no longer processes Passport requests.  Please visit this web site to locate a processing site close to you.
https://www.us-passport-service-guide.com/california-passport-office.html",NA,How do I apply for a passport?,"The City of Fontana no longer processes Passport requests.  Please visit this web site to locate a processing site close to you.
https://www.us-passport-service-guide.com/california-passport-office.html",TRUE,TRUE,TRUE
Personal Background,Public_Safety,Police,How do I get a Personal Background Check?,How-do-I-get-a-Personal-Background-Check,"A Personal Background Check is a search of City of Fontana records only.  For State of California clearance, contact the Department of Justice.

To receive a Personal Background Check by mail:

Complete the Personal Background Check Request Form (click here: https://www.fontana.org/DocumentCenter/View/33000/Personal-Records-Check-Request-Form?bidId=)
Place the following items into an envelope:
Completed Personal Background Check Request Form
A photocopy of your photo identification (Photo ID must be issued by the State or Federal Government)
A check or money order made payable to the City of Fontana, in the amount of $22
Mail the envelope to:
Fontana Police Department
Attn: Records
17005 Upland Avenue
Fontana, CA 92335

** Due to the high volume of requests, it may take two to three weeks to receive your copy.




",NA,How do I get a Personal Background Check?,"A Personal Background Check is a search of City of Fontana records only.  For State of California clearance, contact the Department of Justice.

To receive a Personal Background Check by mail:

Complete the Personal Background Check Request Form (click here: https://www.fontana.org/DocumentCenter/View/33000/Personal-Records-Check-Request-Form?bidId=)
Place the following items into an envelope:
Completed Personal Background Check Request Form
A photocopy of your photo identification (Photo ID must be issued by the State or Federal Government)
A check or money order made payable to the City of Fontana, in the amount of $22
Mail the envelope to:
Fontana Police Department
Attn: Records
17005 Upland Avenue
Fontana, CA 92335

** Due to the high volume of requests, it may take two to three weeks to receive your copy.




",TRUE,TRUE,TRUE
Personal Property Release,Public_Safety,Police,How do I get a release of personal property?,How-do-I-get-a-release-of-personal-property,"
The Property Unit is responsible for the storage, maintenance, and disposition of all evidence collected by police officers in the course of their duties. 

Release of Personal Property
Property will be released by appointment only:

To make an appointment, contact the Property Unit at (909) 356-7151 or email

For the release of property belonging to you:

Make an appointment
Bring photo identification to claim your property
For the release of property belonging to someone who is incarcerated:

Make an appointment
Print and complete the Notarized Release of Property form
The form must be authorized by a Notary Public
Bring the completed form and photo identification to the front desk of the Police Department

Additional Information
Contact the Property Unit by email or call them at (909) 356-7151.",NA,How do I get a release of personal property?,"
The Property Unit is responsible for the storage, maintenance, and disposition of all evidence collected by police officers in the course of their duties. 

Release of Personal Property
Property will be released by appointment only:

To make an appointment, contact the Property Unit at (909) 356-7151 or email

For the release of property belonging to you:

Make an appointment
Bring photo identification to claim your property
For the release of property belonging to someone who is incarcerated:

Make an appointment
Print and complete the Notarized Release of Property form
The form must be authorized by a Notary Public
Bring the completed form and photo identification to the front desk of the Police Department

Additional Information
Contact the Property Unit by email or call them at (909) 356-7151.",TRUE,TRUE,TRUE
Pet in Vehicle,Animal_Services,Animal Services,Can an animal be left in a vehicle?,Can-an-animal-be-left-in-a-vehicle,"No, per California Penal Code 597.7.(a) â€“ a person shall not leave or confine an animal in any unattended motor vehicle under conditions that endanger the health or well-being of an animal due to heat, cold, lack of adequate ventilation, or lack of food or, water, or other circumstances that could reasonably be expected to cause suffering, disability, or death to the animal.",NA,Can an animal be left in a vehicle?,"No, per California Penal Code 597.7.(a) â€“ a person shall not leave or confine an animal in any unattended motor vehicle under conditions that endanger the health or well-being of an animal due to heat, cold, lack of adequate ventilation, or lack of food or, water, or other circumstances that could reasonably be expected to cause suffering, disability, or death to the animal.",TRUE,TRUE,TRUE
Pet Leash,Animal_Services,Animal Services,Can dogs be off leash at a Fontana City park?,Can-dogs-be-off-leash-at-a-Fontana-City-park,"Dogs are not permitted in Fontana City parks, but at facilities with a designated dog park area. Dogs may be off leash and be kept within the fenced area.

See chapter 19- Parks and community services

Sec. 19-8 Regulations for the safe use of designated dog park areas within the city. https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH19PACOSE_ARTIINGE",NA,Can dogs be off leash at a Fontana City park?,"Dogs are not permitted in Fontana City parks, but at facilities with a designated dog park area. Dogs may be off leash and be kept within the fenced area.

See chapter 19- Parks and community services

Sec. 19-8 Regulations for the safe use of designated dog park areas within the city. https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH19PACOSE_ARTIINGE",TRUE,TRUE,TRUE
Pet limits,Animal_Services,Animal Services,How many pets can one home have?,How-many-pets-can-one-home-have,"Each household within the city limits of Fontana can have no more than 3 dogs and 3 cats. In addition, it is permissible for a resident within the city limits of Fontana to own a potbelly pig and 2 squawking birds.

To report a home exceeding the allowed limits, please submit a request [link Form to be built in SF].


",ASEXCESPETS,How many pets can one home have?,"Each household within the city limits of Fontana can have no more than 3 dogs and 3 cats. In addition, it is permissible for a resident within the city limits of Fontana to own a potbelly pig and 2 squawking birds.

To report a home exceeding the allowed limits, please submit a request [link Form to be built in SF].


",TRUE,TRUE,TRUE
Pet limits,Animal_Services,Animal Services,Can I keep pet chickens on my property?,Can-I-keep-pet-chickens-on-my-property,"Within the City of Fontana limits, a resident is allowed to have backyard chickens on their property as long as the following conditions are met.

â€¢ A maximum of five (5) chickens for every 15,000sq feet.
â€¢ Roosters are prohibited.
â€¢ Slaughtering is prohibited.
â€¢ Coop may only be kept in the rear yard.
â€¢ Coop may not be closer than 40 feet to the nearest neighboring dwelling and 20 feet from any property line.
â€¢ Coop must be well-maintained and cleaned.",NA,Can I keep pet chickens on my property?,"Within the City of Fontana limits, a resident is allowed to have backyard chickens on their property as long as the following conditions are met.

â€¢ A maximum of five (5) chickens for every 15,000sq feet.
â€¢ Roosters are prohibited.
â€¢ Slaughtering is prohibited.
â€¢ Coop may only be kept in the rear yard.
â€¢ Coop may not be closer than 40 feet to the nearest neighboring dwelling and 20 feet from any property line.
â€¢ Coop must be well-maintained and cleaned.",TRUE,TRUE,TRUE
Pet limits,Animal_Services,Animal Services,Can I keep bees on my property?,Can-I-keep-bees-on-my-property,"Beekeeping regulations can be found in Section 30-432 Special use Regulations Fontana City Code. Unless the property is zoned â€œR-Eâ€, minimum Site Area Required 1 acre and Maximum No. of Each Animal 1 hive per 10,000 sq feet",NA,Can I keep bees on my property?,"Beekeeping regulations can be found in Section 30-432 Special use Regulations Fontana City Code. Unless the property is zoned â€œR-Eâ€, minimum Site Area Required 1 acre and Maximum No. of Each Animal 1 hive per 10,000 sq feet",TRUE,TRUE,TRUE
Pet limits,Animal_Services,Animal Services,Can I keep an exotic/ venomous animals as pets,Can-I-keep-an-exotic--venomous-animals-as-pets,"To request a permit to keep exotic/ venomous animals or wildlife you must contact California Fish and Wildlife. All exotic/ venomous approved permits can submitted to the Fontana City Manager and will be reviewed and approved on a case by case basis.

Please refer to Fontana City ordnance Chapter4 section 6

Sec. 4-6. â€“ Wild, dangerous or nondomestic animals in captivity. https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH4AN",NA,Can I keep an exotic/ venomous animals as pets,"To request a permit to keep exotic/ venomous animals or wildlife you must contact California Fish and Wildlife. All exotic/ venomous approved permits can submitted to the Fontana City Manager and will be reviewed and approved on a case by case basis.

Please refer to Fontana City ordnance Chapter4 section 6

Sec. 4-6. â€“ Wild, dangerous or nondomestic animals in captivity. https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH4AN",TRUE,TRUE,TRUE
Planning,Building_and_Planning,Planning,What am I allowed to develop on my parcel based on my property Zone?,What-am-I-allowed-to-develop-on-my-parcel-based-on-my-property-Zone,Call the Planning Department at (909) 350-6718 . ,,What am I allowed to develop on my parcel based on my property Zone?,Call the Planning Department at (909) 350-6718 . ,TRUE,TRUE,TRUE
Planning,Building_and_Planning,Planning,How do I find out the status of my Planning application?,How-do-I-find-out-the-status-of-my-Planning-application,"The status of your application can be viewed through E-Trakit. At http://www.fontana.org, choose the ""Government"" tab and click ""Planning"". Then, choose the â€œE-Trakitâ€ link on Planning website. Under the Project Search area, enter your project number and click â€œSearch.â€ The status of your planning application will appear. You can also call the Planning Department (909) 350-6718 or email.



",,How do I find out the status of my Planning application?,"The status of your application can be viewed through E-Trakit. At http://www.fontana.org, choose the ""Government"" tab and click ""Planning"". Then, choose the â€œE-Trakitâ€ link on Planning website. Under the Project Search area, enter your project number and click â€œSearch.â€ The status of your planning application will appear. You can also call the Planning Department (909) 350-6718 or email.



",TRUE,TRUE,TRUE
Planning,Building_and_Planning,Planning,What is a General Plan or Specific Plan Amendment?,What-is-a-General-Plan-or-Specific-Plan-Amendment,"
The General Plan identifies and describes long range goals and objectives for the City of Fontana. Projects must comply with these goals and objectives in order to be approved. The City of Fontana General Plan is a very important document, as it represents the City's long-term vision. It guides all land use decisions in our community and is required by state law. From time to time, an applicant will propose a change in land use to the General Plan. These changes are called â€œGeneral Plan Amendments.â€ The General Plan was adopted only after extensive study and public hearings by the Planning Commission and the City Council. Any change in the General Plan must also go through the same process of study, review and public hearings. Some areas of the City develop under more focused regulatory guidance. Although consistent with the City's General Plan, these areas are regulated under adopted â€œSpecific Plans.â€ There are 27 Specific Plans located in the City of Fontana, of which, most are residential in character. Like the General Plan, specific plans are adopted only after extensive study and public hearings by the Planning Commission and the City Council. Changes proposed to a specific plan are requested through a â€œSpecific Plan Amendmentâ€ that also must go through the same process of study, review, and public hearings. Prior to filing for either a General Plan Amendment or Specific Plan Amendment, Fontana Municipal Code (FMC) Sections 30-33 and 30-68 requires a â€œPre-Applicationâ€ conference with City staff. Please call the Planning Department at (909) 350-6718 or via email for more information.




",,What is a General Plan or Specific Plan Amendment?,"
The General Plan identifies and describes long range goals and objectives for the City of Fontana. Projects must comply with these goals and objectives in order to be approved. The City of Fontana General Plan is a very important document, as it represents the City's long-term vision. It guides all land use decisions in our community and is required by state law. From time to time, an applicant will propose a change in land use to the General Plan. These changes are called â€œGeneral Plan Amendments.â€ The General Plan was adopted only after extensive study and public hearings by the Planning Commission and the City Council. Any change in the General Plan must also go through the same process of study, review and public hearings. Some areas of the City develop under more focused regulatory guidance. Although consistent with the City's General Plan, these areas are regulated under adopted â€œSpecific Plans.â€ There are 27 Specific Plans located in the City of Fontana, of which, most are residential in character. Like the General Plan, specific plans are adopted only after extensive study and public hearings by the Planning Commission and the City Council. Changes proposed to a specific plan are requested through a â€œSpecific Plan Amendmentâ€ that also must go through the same process of study, review, and public hearings. Prior to filing for either a General Plan Amendment or Specific Plan Amendment, Fontana Municipal Code (FMC) Sections 30-33 and 30-68 requires a â€œPre-Applicationâ€ conference with City staff. Please call the Planning Department at (909) 350-6718 or via email for more information.




",TRUE,TRUE,TRUE
Planning,Building_and_Planning,Planning,How do I look up the zoning for my property?,How-do-I-look-up-the-zoning-for-my-property,"You can look up the zoning of your property at http://www.fontana.org. Choose the â€œGovernmentâ€ tab and click ""Planning"". Then, choose the â€œZoning and General Plan Land Use Interactive Mapâ€ link on the left of the screen.  Type in your property address and choose either â€œZoningâ€ for your zoning, â€œGeneral Planâ€ for land use information, or â€œSpecific Planâ€ to find if your property is in one of the City's many Specific Plan areas. If your property is in a Specific Plan, please call the Planning Department  at (909) 350-6718 or via email for more specific zoning information.


",,How do I look up the zoning for my property?,"You can look up the zoning of your property at http://www.fontana.org. Choose the â€œGovernmentâ€ tab and click ""Planning"". Then, choose the â€œZoning and General Plan Land Use Interactive Mapâ€ link on the left of the screen.  Type in your property address and choose either â€œZoningâ€ for your zoning, â€œGeneral Planâ€ for land use information, or â€œSpecific Planâ€ to find if your property is in one of the City's many Specific Plan areas. If your property is in a Specific Plan, please call the Planning Department  at (909) 350-6718 or via email for more specific zoning information.


",TRUE,TRUE,TRUE
Planning,Building_and_Planning,Planning,Where is the Planning Case Fee Schedule?,Where-is-the-Planning-Case-Fee-Schedule,"The Planning Case Fee Schedule can be found at http://www.fontanta.org. At the top of the page, place your cursor over â€œGovernment.â€ Under ""Departments"" section, click ""Planning"", select ""Applications and Fees"" on the left hand side. Scroll down to ""Fee Schedule"" and select ""Planning Case Fees"". You may also request the Planning Case Fee Schedule by contacting the Planning Department at (909) 350-6718 or via email. ",,Where is the Planning Case Fee Schedule?,"The Planning Case Fee Schedule can be found at http://www.fontanta.org. At the top of the page, place your cursor over â€œGovernment.â€ Under ""Departments"" section, click ""Planning"", select ""Applications and Fees"" on the left hand side. Scroll down to ""Fee Schedule"" and select ""Planning Case Fees"". You may also request the Planning Case Fee Schedule by contacting the Planning Department at (909) 350-6718 or via email. ",TRUE,TRUE,TRUE
Planning,Building_and_Planning,Planning,How do I change the zoning of my property?,How-do-I-change-the-zoning-of-my-property,"Much like General Plan and Specific Plan Amendments, the City's Zoning and Development Code may be amended to reclassify property from any zoning district, provided that any such amendment is consistent with the General Plan. Zone change applications require action by the Planning Commission and the City Council. Prior to filing for a Zone Change Application, Fontana Municipal Code (FMC) Sections 30-41 requires a â€œPre-Applicationâ€ conference with City staff. Please call the Planning Department at (909) 350-6718 or via email for more information.



",,How do I change the zoning of my property?,"Much like General Plan and Specific Plan Amendments, the City's Zoning and Development Code may be amended to reclassify property from any zoning district, provided that any such amendment is consistent with the General Plan. Zone change applications require action by the Planning Commission and the City Council. Prior to filing for a Zone Change Application, Fontana Municipal Code (FMC) Sections 30-41 requires a â€œPre-Applicationâ€ conference with City staff. Please call the Planning Department at (909) 350-6718 or via email for more information.



",TRUE,TRUE,TRUE
Planning,Building_and_Planning,Planning,What is a Pre Application Meeting or â€œPAMâ€ and why is it required?,What-is-a-Pre-Application-Meeting-or-â€œPAMâ€-and-why-is-it-required,"A Pre Application Meeting (PAM) is an informal conference between key City staff and those proposing to file an entitlement application on a property. The Pre Application Meeting is intended to: 1) inform applicants and their representatives of the entitlement process, specifically in terms of processing time and cost; 2) identify any issues that may arise during the entitlement process before significant time and expense is made by the applicant and City staff; and 3) introduce applicants and their representatives to key City staff. The PAM, if utilized effectively, ensures an efficient entitlement process and significantly increases the chances of a project getting to â€œYes.â€



",,What is a Pre Application Meeting or â€œPAMâ€ and why is it required?,"A Pre Application Meeting (PAM) is an informal conference between key City staff and those proposing to file an entitlement application on a property. The Pre Application Meeting is intended to: 1) inform applicants and their representatives of the entitlement process, specifically in terms of processing time and cost; 2) identify any issues that may arise during the entitlement process before significant time and expense is made by the applicant and City staff; and 3) introduce applicants and their representatives to key City staff. The PAM, if utilized effectively, ensures an efficient entitlement process and significantly increases the chances of a project getting to â€œYes.â€



",TRUE,TRUE,TRUE
Planning,Building_and_Planning,Planning,What are variances?,What-are-variances,"If a property owner feels that one or more zoning standards impose an unnecessary physical hardship due to the property's unique size, shape, topography, location, or other physical condition, the owner may request to be excused from strictly complying with that requirement. This request is called a variance (because the owner desires to â€œvaryâ€ from the rule(s) that usually apply). The City's Zoning and Development Code (FMC 30-202 and 30-213) defines how a variance can be used. Variances are not granted without serious deliberation. When deciding to grant a variance, decision-makers (either the Director of Planning, for a â€œMinor Variance,â€ or the Planning Commission) must make written findings explaining why a variance is, or is not, justified. These explanations must be backed up with facts that also become part of the written record of the decision. Financial hardship, community benefit, or the worthiness of the project is not a consideration. Also, a property owner cannot be granted a variance simply because they do not want to comply with a particular development standard. Additionally, a variance cannot be used to allow a land use that is not otherwise allowed in the zoning district that the property is located. Prior to filing for a Variance, Fontana Municipal Code (FMC) Section 30-204 and 30-215 requires a â€œPre-Applicationâ€ conference with City staff. Please call the Planning Department at (909) 350-6718 or via email for more information.



",,What are variances?,"If a property owner feels that one or more zoning standards impose an unnecessary physical hardship due to the property's unique size, shape, topography, location, or other physical condition, the owner may request to be excused from strictly complying with that requirement. This request is called a variance (because the owner desires to â€œvaryâ€ from the rule(s) that usually apply). The City's Zoning and Development Code (FMC 30-202 and 30-213) defines how a variance can be used. Variances are not granted without serious deliberation. When deciding to grant a variance, decision-makers (either the Director of Planning, for a â€œMinor Variance,â€ or the Planning Commission) must make written findings explaining why a variance is, or is not, justified. These explanations must be backed up with facts that also become part of the written record of the decision. Financial hardship, community benefit, or the worthiness of the project is not a consideration. Also, a property owner cannot be granted a variance simply because they do not want to comply with a particular development standard. Additionally, a variance cannot be used to allow a land use that is not otherwise allowed in the zoning district that the property is located. Prior to filing for a Variance, Fontana Municipal Code (FMC) Section 30-204 and 30-215 requires a â€œPre-Applicationâ€ conference with City staff. Please call the Planning Department at (909) 350-6718 or via email for more information.



",TRUE,TRUE,TRUE
Planning,Building_and_Planning,Planning,How do I subdivide my property?,How-do-I-subdivide-my-property,"Subdividing property includes:
- Dividing an existing parcel into multiple parcels; or,
- Otherwise change the area and shape of a parcel by adjusting its lot lines.

There are several ways to subdivide a property depending upon the type of land use (residential, or commercial and industrial) and the total number of lots desired. Typically, for residential lots, subdividing four or less lots requires approval of a â€œTentative Parcel Mapâ€ application. Subdividing four or more lots requires approval of a â€œTentative Tract Mapâ€ application. The requirements for commercial and industrial zoned lots are slightly different, although the process is the same. Both maps require approval of the Planning Commission at a public hearing.

These applications are necessary to ensure that the public infrastructure (sidewalks, streets, intersections, public landscaping) is installed properly and can support the proposed development work.

FMC Chapter's 26 (Subdivisions) and 30 (Zoning and Development) govern the subdivision of property in the City of Fontana.





",,How do I subdivide my property?,"Subdividing property includes:
- Dividing an existing parcel into multiple parcels; or,
- Otherwise change the area and shape of a parcel by adjusting its lot lines.

There are several ways to subdivide a property depending upon the type of land use (residential, or commercial and industrial) and the total number of lots desired. Typically, for residential lots, subdividing four or less lots requires approval of a â€œTentative Parcel Mapâ€ application. Subdividing four or more lots requires approval of a â€œTentative Tract Mapâ€ application. The requirements for commercial and industrial zoned lots are slightly different, although the process is the same. Both maps require approval of the Planning Commission at a public hearing.

These applications are necessary to ensure that the public infrastructure (sidewalks, streets, intersections, public landscaping) is installed properly and can support the proposed development work.

FMC Chapter's 26 (Subdivisions) and 30 (Zoning and Development) govern the subdivision of property in the City of Fontana.





",TRUE,TRUE,TRUE
Police Reports,Public_Safety,Police,How do I file a Police Report?,How-do-I-file-a-Police-Report,Please click here: https://www.fontana.org/114/File-a-Police-Report-Online,NA,How do I file a Police Report?,Please click here: https://www.fontana.org/114/File-a-Police-Report-Online,TRUE,TRUE,TRUE
Police Station,Public_Safety,Police,How can I request a Police Station tour?,How-can-I-request-a-Police-Station-tour,"Tours of the Fontana Police Department are available by request and by appointment only. Tours are available Monday through Thursday.  To request a tour:

Please call (909) 350-7758 or create a request here.
",POLICETOUR,How can I request a Police Station tour?,"Tours of the Fontana Police Department are available by request and by appointment only. Tours are available Monday through Thursday.  To request a tour:

Please call (909) 350-7758 or create a request here.
",TRUE,TRUE,TRUE
Police Station,Public_Safety,Police,What is the address and hours of operation for the Police Department,What-is-the-address-and-hours-of-operation-for-the-Police-Department,"The Fontana Police Department is located at 17005 Upland Avenue in the City of Fontana.

The front Lobby is open, Monday through Thursday from 8am â€“ 5pm, excluding holidays. ",NA,What is the address and hours of operation for the Police Department,"The Fontana Police Department is located at 17005 Upland Avenue in the City of Fontana.

The front Lobby is open, Monday through Thursday from 8am â€“ 5pm, excluding holidays. ",TRUE,TRUE,TRUE
Private Property Maintenance,Code_Compliance,Code Compliance,Are owners responsible for maintaining weeds and grass on their properties?,Are-owners-responsible-for-maintaining-weeds-and-grass-on-their-properties,"Lots with a building or other structure must be maintained even if they are not occupied. If you observe overgrown weeds , please report the property so that Code Compliance can work with the owner to have it mowed.  

To report an unkept property, please submit a request.",CODEVEGETATION,Are owners responsible for maintaining weeds and grass on their properties?,"Lots with a building or other structure must be maintained even if they are not occupied. If you observe overgrown weeds , please report the property so that Code Compliance can work with the owner to have it mowed.  

To report an unkept property, please submit a request.",TRUE,TRUE,TRUE
Private Property Maintenance,Code_Compliance,Code Compliance,What can be done about a vacant lot that is not being maintained?,What-can-be-done-about-a-vacant-lot-that-is-not-being-maintained,"Vacant lots must be maintained to avoid becoming a fire hazard or neighborhood blight. 

To report an unkept lot, please submit a request.",CODEOPNVCNTBLDG,What can be done about a vacant lot that is not being maintained?,"Vacant lots must be maintained to avoid becoming a fire hazard or neighborhood blight. 

To report an unkept lot, please submit a request.",TRUE,TRUE,TRUE
Private Property Maintenance,Parks,Parks,My property borders a City park. Who is responsible for maintaining the fence?,My-property-borders-a-City-park--Who-is-responsible-for-maintaining-the-fence,"When residential fences are along the property line of a City of Fontana park, the property owner is solely responsible for the maintenance of the fence. 

Fence material, height, and position on the property must follow the City code. All fencing viewable from the public right of way must be kept in good repair.

To report concerns with a fence bordering a City park, please submit a request [link to request site]. ",PARKSFENCE,My property borders a City park. Who is responsible for maintaining the fence?,"When residential fences are along the property line of a City of Fontana park, the property owner is solely responsible for the maintenance of the fence. 

Fence material, height, and position on the property must follow the City code. All fencing viewable from the public right of way must be kept in good repair.

To report concerns with a fence bordering a City park, please submit a request [link to request site]. ",TRUE,TRUE,TRUE
Public Records,General,City Clerk's Office,How do I submit a public records request?,How-do-I-submit-a-public-records-request,Please complete this form : https://www.fontana.org/formcenter/city-14/public-records-request-form-85 All Requests will be sent to the City Clerk's Office for processing.,,How do I submit a public records request?,Please complete this form : https://www.fontana.org/formcenter/city-14/public-records-request-form-85 All Requests will be sent to the City Clerk's Office for processing.,TRUE,TRUE,TRUE
Public Records Request,Public_Safety,Police,How can I obtain security video from a City-owned garage or lot?,How-can-I-obtain-security-video-from-a-City-owned-garage-or-lot,"Parking garage and lot security camera recordings may be requested by submitting a public records request with the City Clerk. 

For more information, or to submit a public records request, please visit us here. ",TBD,How can I obtain security video from a City-owned garage or lot?,"Parking garage and lot security camera recordings may be requested by submitting a public records request with the City Clerk. 

For more information, or to submit a public records request, please visit us here. ",TRUE,TRUE,TRUE
Recycling,Waste_Services,Solid Waste,Should I wash my recyclables before placing them in the bin?,Should-I-wash-my-recyclables-before-placing-them-in-the-bin,"The market for recyclable items has become more complicated and so we must make better choices about reducing our reliance on plastics, reusing items where we can, and putting the right items in the blue recycle bin.

When recycling approved materials, it is preferred that the items be clean of most residue.  Please contact Burrtrec for more information: http://www.burrtec.com ",NA,Should I wash my recyclables before placing them in the bin?,"The market for recyclable items has become more complicated and so we must make better choices about reducing our reliance on plastics, reusing items where we can, and putting the right items in the blue recycle bin.

When recycling approved materials, it is preferred that the items be clean of most residue.  Please contact Burrtrec for more information: http://www.burrtec.com ",TRUE,TRUE,TRUE
